Code,EntryID,SignFrequency(M),Iconicity(M),LexicalClass,SignType
K_01_046,CREAM_2,0,0,0,3
D_03_076,create,5.308,2.200,7,5
B_02_057,credit_card,4.560,2.033,6,3
K_02_127,CREWCUT,0,0,0,5
F_03_83,criticize,5.333,4.281,7,3
D_01_081,crocodile,2.519,5.441,6,5
C_01_067,cross,1.967,6.467,6,2
H_01_7,cross_2,4.179,4.800,7,1
K_03_028,CROSS_3,0,0,0,2
J_01_064,cross_heart,2.500,6.120,0,2
F_01_16,crown,3.259,5.333,6,5
K_01_124,CRUMPLE,0,0,0,5
B_03_028,cry,4.440,6.567,7,5
K_01_003,CRY_2,0,0,0,5
K_02_040,CRY_3,0,0,0,5
K_03_060,CRY_4,0,0,0,2
H_01_51,culture,5.786,1.821,6,3
A_01_010,cup,5.742,2.897,6,3
F_03_51,curious,5.852,1.625,2,2
J_01_052,curl,1.818,3.520,0,2
K_01_072,CURL_2,0,0,0,2
H_02_7,curly_hair,2.619,4.625,2,5
A_02_025,curtain,2.444,4.900,6,5
K_02_006,CURTSEY_1,0,0,0,5
K_03_038,CURTSEY_2,0,0,0,3
E_02_46,cut_1,3.241,6.333,7,2
F_01_65,cut_2,4.444,5.469,7,3
B_03_087,cute_1,5.200,3.267,2,2
C_01_045,cute_2,4.500,1.533,2,2
F_01_98,damn,4.778,2.758,5,2
B_02_063,dance,3.960,3.400,6,3
A_02_034,dancer,3.185,2.400,6,3
E_02_67,danger,4.250,1.586,6,3
E_01_12,dark,5.600,1.962,2,5
J_03_094,dark_2(b),5.483,3.727,0,5
C_03_029,dart,1.643,6.389,6,2
G_01_31,date_1,5.222,2.310,6,5
E_02_23,daughter,5.500,2.742,6,2
C_01_044,day,4.733,2.700,6,2
F_03_38,deaf_1,6.769,4.061,2,2
E_03_98,deaf_2,2.167,4.000,2,2
H_01_22,deaf_school,5.429,3.185,6,2
J_02_074,deal_cards,2.048,3.417,0,5
A_01_076,death,4.484,2.568,6,5
B_02_074,decide_1,4.240,2.300,7,2
D_03_057,decide_2,4.962,1.870,7,5
F_01_1,decline,3.444,3.906,7,2
K_01_073,DECORATE_1,0,0,0,5
K_02_030,DECORATE_2,0,0,0,5
F_03_85,dedicate_1,5.296,1.688,7,2
G_03_94,dedicate_2,2.792,1.773,7,5
C_03_006,deep,3.567,4.500,2,3
A_03_060,deer,3.360,5.381,6,5
G_03_90,defeat_2,3.200,3.136,7,2
G_02_61,definition,4.963,1.625,6,4
E_01_79,deflate,4.571,4.480,7,3
J_01_021,degree,4.167,2.280,0,5
H_03_1,delegate,2.130,1.583,6,2
H_02_9,deliberate,4.786,2.875,7,5
B_01_082,delicious,5.480,2.259,2,2
F_02_3,delinquent,4.593,1.774,6,3
D_03_080,demand,4.500,2.000,6,4
J_03_031,demote,3.586,3.955,0,5
H_02_30,dent,2.632,4.417,2,5
